,Row,Season,No. in series,Company,Deal,Industry,Entrepreneur Gender,Amount,Equity,Valuation,Corcoran,Cuban,Greiner,Herjavec,John,O'Leary,Harrington,Guest,# Sharks,$ per shark,Details / Notes
0,,,,,,,,,,,,,,,,,,,,,
1,2.0,1.0,1.0,Ava the Elephant,Yes,Healthcare,Female,50000,55%,90909,1.0,,,,,,,,1.0,50000,
2,3.0,1.0,1.0,Mr. Tod's Pie Factory,Yes,Food and Beverage,Male,460000,50%,920000,1.0,,,,1.0,,,,2.0,230000,
3,4.0,1.0,1.0,Wispots,No,Business Services,Male,,,,,,,,,,,,0.0,,
4,5.0,1.0,1.0,College Foxes Packing Boxes,No,Lifestyle / Home,Male,,,,,,,,,,,,0.0,,
5,6.0,1.0,1.0,Ionic Ear,No,Uncertain / Other,Male,,,,,,,,,,,,0.0,,
6,7.0,1.0,2.0,A Perfect Pear,Yes,Food and Beverage,Female,500000,50%,1000000,,,,1.0,,1.0,,,2.0,250000,
7,8.0,1.0,2.0,Classroom Jams,Yes,Children / Education,Male,250000,10%,2500000,1.0,1.0,,1.0,1.0,1.0,,,5.0,50000,
8,9.0,1.0,2.0,Lifebelt,No,Consumer Products,Male,,,,,,,,,,,,0.0,,
9,10.0,1.0,2.0,Crooked Jaw,No,Fashion / Beauty,Male,,,,,,,,,,,,0.0,,
10,11.0,1.0,2.0,Sticky Note Holder,No,Lifestyle / Home,Female,,,,,,,,,,,,0.0,,
11,12.0,1.0,3.0,Turbobaster,Yes,Food and Beverage,Female,35000,100%,35000,,,,,,,1.0,,1.0,35000,2% royalty
12,13.0,1.0,3.0,Stress Free Kids,Yes,Children / Education,Female,250000,50%,500000,1.0,,,,,,,,1.0,250000,
13,14.0,1.0,3.0,Kwyzta Chopstick Art,No,Children / Education,Male,,,,,,,,,,,,0.0,,
14,15.0,1.0,3.0,50 State Capitals in 50 Minutes,No,Children / Education,Male,,,,,,,,,,,,0.0,,
15,16.0,1.0,3.0,Voyage Air Guitar,No,Media / Entertainment,Male,,,,,,,,,,,,0.0,,
